school,division,conference,state,gender
Fort Hays State University,D2,Mid-America Intercollegiate Athletics Association,Kansas,W
Fort Lewis College,D2,Rocky Mountain Athletic Conference,Colorado,M
Fort Lewis College,D2,Rocky Mountain Athletic Conference,Colorado,W
Framingham State University,D3,,Massachusetts,M
Framingham State University,D3,,Massachusetts,W
Francis Marion University,D2,Conference Carolinas,South Carolina,M
Francis Marion University,D2,Conference Carolinas,South Carolina,W
Franciscan University of Steubenville,D3,,Ohio,M
Franciscan University of Steubenville,D3,,Ohio,W
Franklin & Marshall College,D3,,Pennsylvania,M
Franklin & Marshall College,D3,,Pennsylvania,W
Franklin College,D3,,Indiana,M
Franklin College,D3,,Indiana,W
Franklin Pierce University,D2,Northeast-10 Conference,New Hampshire,M
Franklin Pierce University,D2,Northeast-10 Conference,New Hampshire,W
Freed-Hardeman University,NAIA,,Tennessee,M
Freed-Hardeman University,NAIA,,Tennessee,W
Fresno Pacific University,D2,California Collegiate Athletic Association,California,M
Fresno Pacific University,D2,California Collegiate Athletic Association,California,W
Fresno State,D1,Pac-12,California,W
Friends University,NAIA,,Kansas,M
Friends University,NAIA,,Kansas,W
Frostburg State University,D2,Mountain East Conference,Maryland,M
Frostburg State University,D2,Mountain East Conference,Maryland,W
Furman,D1,Southern,South Carolina,W
Furman University,D1,Southern Conference,South Carolina,M
Gallaudet University,D3,,District of Columbia,M
Gannon University,D2,Pennsylvania State Athletic Conference,Pennsylvania,M
Gannon University,D2,Pennsylvania State Athletic Conference,Pennsylvania,W
Gardner–Webb,D1,Big South,North Carolina,W
Gardner–Webb University,D1,Big South Conference,North Carolina,M
Geneva College,D3,,Pennsylvania,M
Geneva College,D3,,Pennsylvania,W
George Fox University,D3,,Oregon,M
George Fox University,D3,,Oregon,W
George Mason,D1,Atlantic 10,Virginia,W
George Mason University,D1,Atlantic 10 Conference,Virginia,M
George Washington,D1,Atlantic 10,District of Columbia,W
George Washington University,D1,Atlantic 10 Conference,District of Columbia,M
Georgetown,D1,Big East,District of Columbia,W
Georgetown College,NAIA,,Kentucky,M
Georgetown College,NAIA,,Kentucky,W
Georgetown University,D1,Big East Conference,District of Columbia,M
Georgia,D1,SEC,Georgia,W
Georgia College & State University,D2,Peach Belt Conference,Georgia,W
Georgia Gwinnett College,NAIA,,Georgia,M
Georgia Gwinnett College,NAIA,,Georgia,W
Georgia Southern,D1,Sun Belt,Georgia,W
Georgia Southern University,D1,Sun Belt Conference,Georgia,M
Georgia Southwestern State University,D2,Peach Belt Conference,Georgia,M
Georgia Southwestern State University,D2,Peach Belt Conference,Georgia,W
Georgia State,D1,Sun Belt,Georgia,W
Georgia State University,D1,Sun Belt Conference,Georgia,M
Georgian Court University,D2,Central Atlantic Collegiate Conference,New Jersey,M
Georgian Court University,D2,Central Atlantic Collegiate Conference,New Jersey,W
Gettysburg College,D3,,Pennsylvania,M
Gettysburg College,D3,,Pennsylvania,W
Goldey–Beacom College,D2,Central Atlantic Collegiate Conference,Delaware,M
Goldey–Beacom College,D2,Central Atlantic Collegiate Conference,Delaware,W
Gonzaga,D1,Pac-12,Washington,W
Gonzaga University,D1,Pac-12 Conference,Washington,M
Gordon College,D3,,Massachusetts,M
Gordon College,D3,,Massachusetts,W
Goshen College,NAIA,,Indiana,M
Goshen College,NAIA,,Indiana,W
Goucher College,D3,,Maryland,M
Goucher College,D3,,Maryland,W
Governors State University,NAIA,,Illinois,M
Governors State University,NAIA,,Illinois,W
Grace Christian University,D3,,Michigan,M
Grace College,NAIA,,Indiana,M
Graceland University,NAIA,,Iowa,M
Graceland University,NAIA,,Iowa,W
Grambling State,D1,SWAC,Louisiana,W
Grand Canyon,D1,Mountain West,Arizona,W
Grand Canyon University,D1,Mountain West Conference,Arizona,M
Grand Valley State University,D2,Great Lakes Intercollegiate Athletic Conference,Michigan,W
Grand View University,NAIA,,Iowa,M
Grand View University,NAIA,,Iowa,W
Green Bay,D1,Horizon,Wisconsin,W
Greensboro College,D3,,North Carolina,M
Greensboro College,D3,,North Carolina,W
Greenville University,D3,,Illinois,M
Greenville University,D3,,Illinois,W
Grinnell College,D3,,Iowa,M
Grinnell College,D3,,Iowa,W
Grove City College,D3,,Pennsylvania,M
Grove City College,D3,,Pennsylvania,W
Guilford College,D3,,North Carolina,M
Guilford College,D3,,North Carolina,W
Gustavus Adolphus College,D3,,Minnesota,M
Gustavus Adolphus College,D3,,Minnesota,W
Gwynedd Mercy University,D3,,Pennsylvania,M
Gwynedd Mercy University,D3,,Pennsylvania,W
Hamilton College,D3,,New York,M
Hamilton College,D3,,New York,W
Hamline University,D3,,Minnesota,M
Hamline University,D3,,Minnesota,W
Hampden-Sydney College,D3,,Virginia,M
Hampton,D1,CAA,Virginia,W
Hannibal-LaGrange University,NAIA,,Missouri,M
Hannibal-LaGrange University,NAIA,,Missouri,W
Hanover College,D3,,Indiana,M
Hanover College,D3,,Indiana,W
Hardin-Simmons University,D3,,Texas,M
Hardin-Simmons University,D3,,Texas,W
Harding University,D2,Great American Conference,Arkansas,M
Harding University,D2,Great American Conference,Arkansas,W
Harris-Stowe State University,NAIA,,Missouri,M
Harris-Stowe State University,NAIA,,Missouri,W
Hartwick College,D3,,New York,M
Hartwick College,D3,,New York,W
Harvard,D1,Ivy League,Massachusetts,W
Harvard University,D1,Ivy League,Massachusetts,M
Hastings College,NAIA,,Nebraska,M
Hastings College,NAIA,,Nebraska,W
Haverford College,D3,,Pennsylvania,M
Haverford College,D3,,Pennsylvania,W
Hawai'i Pacific University,D2,Pacific West Conference,Hawaii,M
Hawai'i Pacific University,D2,Pacific West Conference,Hawaii,W
Hawaii,D1,Mountain West,Hawaii,W
Heidelberg University,D3,,Ohio,M
Heidelberg University,D3,,Ohio,W
Hendrix College,D3,,Arkansas,M
Hendrix College,D3,,Arkansas,W
High Point,D1,Big South,North Carolina,W
High Point University,D1,Big South Conference,North Carolina,M
Hilbert College,D3,,New York,M
Hilbert College,D3,,New York,W
Hiram College,D3,,Ohio,M
Hiram College,D3,,Ohio,W
Hobart & William Smith College,D3,,New York,M
Hobart & William Smith College,D3,,New York,W
Hofstra,D1,CAA,New York,W
Hofstra University,D1,Coastal Athletic Association,New York,M
Hollins University,D3,,Virginia,W
Holy Cross,D1,Patriot,Massachusetts,W
Holy Cross College,NAIA,,Indiana,M
Holy Cross College,NAIA,,Indiana,W
Holy Family University,D2,Central Atlantic Collegiate Conference,Pennsylvania,M
Holy Family University,D2,Central Atlantic Collegiate Conference,Pennsylvania,W
Hood College,D3,,Maryland,M
Hood College,D3,,Maryland,W
Hope College,D3,,Michigan,M
Hope College,D3,,Michigan,W
Hope International University,NAIA,,California,M
Hope International University,NAIA,,California,W
Houghton University,D3,,New York,M
Houghton University,D3,,New York,W
Houston,D1,Big 12,Texas,W
Houston Christian,D1,Southland,Texas,W
Houston Christian University,D1,Ohio Valley Conference,Texas,M
Howard,D1,NEC,District of Columbia,W
Howard Payne University,D3,,Texas,M
Howard Payne University,D3,,Texas,W
Howard University,D1,NEC,District of Columbia,M
Huntingdon College,D3,,Alabama,M
Huntingdon College,D3,,Alabama,W
Huntington University,NAIA,,Indiana,M
Huntington University,NAIA,,Indiana,W
Husson University,D3,,Maine,M
Husson University,D3,,Maine,W
Huston-Tillotson University,NAIA,,Texas,M
Huston-Tillotson University,NAIA,,Texas,W
IU Indy,D1,Horizon,Indiana,W
Idaho,D1,Big Sky,Idaho,W
Idaho State,D1,Big Sky,Idaho,W
Illinois,D1,Big Ten,Illinois,W
Illinois College,D3,,Illinois,M
Illinois College,D3,,Illinois,W
Illinois Institute of Technology,D3,,Illinois,M
Illinois Institute of Technology,D3,,Illinois,W
Illinois State,D1,Missouri Valley,Illinois,W
Illinois Wesleyan University,D3,,Illinois,M
Illinois Wesleyan University,D3,,Illinois,W
Immaculata University,D3,,Pennsylvania,M
Immaculata University,D3,,Pennsylvania,W
Incarnate Word,D1,Southland,Texas,W
Indiana,D1,Big Ten,Indiana,W
Indiana State,D1,Missouri Valley,Indiana,W
Indiana Tech,NAIA,,Indiana,M
Indiana Tech,NAIA,,Indiana,W
Indiana University Bloomington (Indiana),D1,Big Ten Conference,Indiana,M
Indiana University Indianapolis (IU Indy),D1,Horizon League,Indiana,M
Indiana University of Pennsylvania,D2,Pennsylvania State Athletic Conference,Pennsylvania,W
Indiana University – Columbus,NAIA,,Indiana,M
Indiana University – Columbus,NAIA,,Indiana,W
Indiana University – East,NAIA,,Indiana,M
Indiana University – East,NAIA,,Indiana,W
Indiana University – Kokomo,NAIA,,Indiana,W
Indiana University – Northwest,NAIA,,Indiana,M
Indiana University – Northwest,NAIA,,Indiana,W
Indiana University – South Bend,NAIA,,Indiana,W
Indiana Wesleyan University,NAIA,,Indiana,M
Indiana Wesleyan University,NAIA,,Indiana,W
Iona,D1,Metro,New York,W
Iona University,D1,Metro Conference,New York,M
Iowa,D1,Big Ten,Iowa,W
Iowa State,D1,Big 12,Iowa,W
Ithaca College,D3,,New York,M
Ithaca College,D3,,New York,W
Jackson State,D1,SWAC,Mississippi,W
Jacksonville,D1,ASUN,Florida,W
Jacksonville State,D1,CUSA,Alabama,W
Jacksonville University,D1,Atlantic Sun Conference,Florida,M
James Madison,D1,Sun Belt,Virginia,W
James Madison University,D1,Sun Belt Conference,Virginia,M
Jarvis Christian University,NAIA,,Texas,M
Jarvis Christian University,NAIA,,Texas,W
Jessup University,D2,Pacific West Conference,California,M
Jessup University,D2,Pacific West Conference,California,W
John Brown University,NAIA,,Arkansas,M
John Brown University,NAIA,,Arkansas,W
John Carroll University,D3,,Ohio,M
John Carroll University,D3,,Ohio,W
Johns Hopkins University,D3,,Maryland,M
Johns Hopkins University,D3,,Maryland,W
Johnson & Wales University – Charlotte,D3,,North Carolina,M
Johnson & Wales University – Providence,D3,,Rhode Island,M
Johnson & Wales University – Providence,D3,,Rhode Island,W
Johnson University,NAIA,,Tennessee,M
Johnson University,NAIA,,Tennessee,W
Judson University,NAIA,,Illinois,W
Juniata College,D3,,Pennsylvania,M
Juniata College,D3,,Pennsylvania,W
Kalamazoo College,D3,,Michigan,M
Kalamazoo College,D3,,Michigan,W
Kansas,D1,Big 12,Kansas,W
Kansas City,D1,Summit,Missouri,W
Kansas State,D1,Big 12,Kansas,W
Kansas Wesleyan University,NAIA,,Kansas,M
Kansas Wesleyan University,NAIA,,Kansas,W
Kean University,D3,,New Jersey,M
Kean University,D3,,New Jersey,W
Keene State College,D3,,New Hampshire,M
Keene State College,D3,,New Hampshire,W
Keiser University,NAIA,,Florida,M
Keiser University,NAIA,,Florida,W
Kennesaw State,D1,CUSA,Georgia,W
Kent State,D1,MAC,Ohio,W
Kentucky,D1,SEC,Kentucky,W
Kentucky Christian University,NAIA,,Kentucky,M
Kentucky Christian University,NAIA,,Kentucky,W
Kentucky Wesleyan College,D2,Great Midwest Athletic Conference,Kentucky,M
Kentucky Wesleyan College,D2,Great Midwest Athletic Conference,Kentucky,W
Kenyon College,D3,,Ohio,M
Kenyon College,D3,,Ohio,W
Keuka College,D3,,New York,M
Keuka College,D3,,New York,W
Keystone College,D3,,Pennsylvania,M
Keystone College,D3,,Pennsylvania,W
King University,D2,Conference Carolinas,Tennessee,M
King University,D2,Conference Carolinas,Tennessee,W
King's College – Pennsylvania,D3,,Pennsylvania,M
King's College – Pennsylvania,D3,,Pennsylvania,W
Knox College,D3,,Illinois,M
Knox College,D3,,Illinois,W
Kutztown University of Pennsylvania,D2,Pennsylvania State Athletic Conference,Pennsylvania,W
LIU,D1,NEC,New York,W
LSU,D1,SEC,Louisiana,W
La Roche University,D3,,Pennsylvania,M
La Roche University,D3,,Pennsylvania,W
La Salle,D1,Atlantic 10,Pennsylvania,W
La Salle University,D1,Atlantic 10 Conference,Pennsylvania,M
La Sierra University,NAIA,,California,M
La Sierra University,NAIA,,California,W
LaGrange College,D3,,Georgia,M
LaGrange College,D3,,Georgia,W
Lafayette,D1,Patriot,Pennsylvania,W
Lafayette College,D1,Patriot League,Pennsylvania,M
Lake Erie College,D2,Great Midwest Athletic Conference,Ohio,M
Lake Erie College,D2,Great Midwest Athletic Conference,Ohio,W
Lake Forest College,D3,,Illinois,M
Lake Forest College,D3,,Illinois,W
Lakeland University,D3,,Wisconsin,M
Lakeland University,D3,,Wisconsin,W
Lamar,D1,Southland,Texas,W
Lancaster Bible College,D3,,Pennsylvania,M
Lancaster Bible College,D3,,Pennsylvania,W
Lander University,D2,Peach Belt Conference,South Carolina,M
Lander University,D2,Peach Belt Conference,South Carolina,W
Lasell University,D3,,Massachusetts,M
Lasell University,D3,,Massachusetts,W
Lawrence Technological University,NAIA,,Michigan,M
Lawrence Technological University,NAIA,,Michigan,W
Lawrence University,D3,,Wisconsin,M
Lawrence University,D3,,Wisconsin,W
Le Moyne,D1,NEC,New York,W
Le Moyne College,D1,NEC,New York,M
LeTourneau University,D3,,Texas,M
LeTourneau University,D3,,Texas,W
Lebanon Valley College,D3,,Pennsylvania,M
Lebanon Valley College,D3,,Pennsylvania,W
Lee University,D2,Gulf South Conference,Tennessee,M
Lee University,D2,Gulf South Conference,Tennessee,W
Lees–McRae College,D2,Conference Carolinas,North Carolina,M
Lees–McRae College,D2,Conference Carolinas,North Carolina,W
Lehigh,D1,Patriot,Pennsylvania,W
Lehigh University,D1,Patriot League,Pennsylvania,M
Lenoir–Rhyne University,D2,South Atlantic Conference,North Carolina,M
Lenoir–Rhyne University,D2,South Atlantic Conference,North Carolina,W
Lesley University,D3,,Massachusetts,M
Lesley University,D3,,Massachusetts,W
Lewis & Clark College,D3,,Oregon,M
Lewis & Clark College,D3,,Oregon,W
Lewis University,D2,Great Lakes Valley Conference,Illinois,M
Lewis University,D2,Great Lakes Valley Conference,Illinois,W
Liberty,D1,CUSA,Virginia,W
Liberty University,D1,Southern Conference,Virginia,M
Life Pacific University,NAIA,,California,M
Life University,NAIA,,Georgia,M
Life University,NAIA,,Georgia,W
Lincoln Memorial University,D2,South Atlantic Conference,Tennessee,M
Lincoln Memorial University,D2,South Atlantic Conference,Tennessee,W
Lincoln University,D2,Great Lakes Valley Conference,Missouri,M
Lincoln University (Missouri),D2,Great Lakes Valley Conference,Missouri,W
Lincoln University (Pennsylvania),D2,Central Atlantic Collegiate Conference,Pennsylvania,W
Lindenwood,D1,Ohio Valley,Missouri,W
Lindenwood University,D1,Ohio Valley Conference,Missouri,M
Lindsey Wilson College,NAIA,,Kentucky,M
Lindsey Wilson College,NAIA,,Kentucky,W
Linfield University,D3,,Oregon,M
Linfield University,D3,,Oregon,W
Lipscomb,D1,ASUN,Tennessee,W
Lipscomb University,D1,Atlantic Sun Conference,Tennessee,M
Little Rock,D1,UAC,Arkansas,W
Long Beach State,D1,Big West,California,W
Long Island University (LIU),D1,NEC,New York,M
Longwood,D1,Big South,Virginia,W
Longwood University,D1,Big South Conference,Virginia,M
Loras College,D3,,Iowa,M
Loras College,D3,,Iowa,W
Louisiana,D1,Sun Belt,Louisiana,W
Louisiana Christian University,NAIA,,Louisiana,M
Louisiana Christian University,NAIA,,Louisiana,W
Louisiana State University – Alexandria,NAIA,,Louisiana,M
Louisiana State University – Alexandria,NAIA,,Louisiana,W
Louisiana State University – Shreveport,NAIA,,Louisiana,M
Louisiana State University – Shreveport,NAIA,,Louisiana,W
Louisiana Tech,D1,Sun Belt,Louisiana,W
Louisiana–Monroe,D1,Sun Belt,Louisiana,W
Louisville,D1,ACC,Kentucky,W
Lourdes University,NAIA,,Ohio,M
Lourdes University,NAIA,,Ohio,W
Loyola (MD),D1,Patriot,Maryland,W
Loyola Chicago,D1,Atlantic 10,Illinois,W
Loyola Marymount,D1,West Coast,California,W
Loyola Marymount University,D1,West Coast Conference,California,M
Loyola University Chicago,D1,Atlantic 10 Conference,Illinois,M
Loyola University Maryland,D1,Patriot League,Maryland,M
Lubbock Christian University,D2,Lone Star Conference,Texas,M
Lubbock Christian University,D2,Lone Star Conference,Texas,W
Luther College,D3,,Iowa,M
Luther College,D3,,Iowa,W
Lycoming College,D3,,Pennsylvania,M
Lycoming College,D3,,Pennsylvania,W
Lynn University,D2,Sunshine State Conference,Florida,M
Lynn University,D2,Sunshine State Conference,Florida,W
Lyon College,D3,,Arkansas,M
Lyon College,D3,,Arkansas,W
Macalester College,D3,,Minnesota,M
Macalester College,D3,,Minnesota,W
Madonna University,NAIA,,Michigan,M
Madonna University,NAIA,,Michigan,W
Maine,D1,America East,Maine,W
Maine Maritime Academy,D3,,Maine,M
Maine Maritime Academy,D3,,Maine,W
Malone University,D2,Great Midwest Athletic Conference,Ohio,M
Malone University,D2,Great Midwest Athletic Conference,Ohio,W
Manchester University,D3,,Indiana,M
Manchester University,D3,,Indiana,W
Manhattan,D1,Metro,New York,W
Manhattan Christian College,D3,,Kansas,M
Manhattan Christian College,D3,,Kansas,W
Manhattan University,D1,Metro Conference,New York,M
Manhattanville College,D3,,New York,M
Manhattanville College,D3,,New York,W
Maranatha Baptist University,D3,,Wisconsin,M
Maranatha Baptist University,D3,,Wisconsin,W
Marian University – Indiana,NAIA,,Indiana,M
Marian University – Indiana,NAIA,,Indiana,W
Marian University – Wisconsin,D3,,Wisconsin,M
Marian University – Wisconsin,D3,,Wisconsin,W
Marietta College,D3,,Ohio,M
Marietta College,D3,,Ohio,W
Marist,D1,Metro,New York,W
Marist University,D1,Metro Conference,New York,M
Marquette,D1,Big East,Wisconsin,W
Marquette University,D1,Big East Conference,Wisconsin,M
Mars Hill University,D2,South Atlantic Conference,North Carolina,M
Mars Hill University,D2,South Atlantic Conference,North Carolina,W
Marshall,D1,Sun Belt,West Virginia,W
Marshall University,D1,Sun Belt Conference,West Virginia,M
Martin Luther College,D3,,Minnesota,M
Martin Luther College,D3,,Minnesota,W
Mary Baldwin University,D3,,Virginia,M
Mary Baldwin University,D3,,Virginia,W
Maryland,D1,Big Ten,Maryland,W
Marymount University (VA),D3,,Virginia,M
Marymount University (VA),D3,,Virginia,W
Maryville College,D3,,Tennessee,M
Maryville College,D3,,Tennessee,W
Maryville University,D2,Great Lakes Valley Conference,Missouri,M
Maryville University,D2,Great Lakes Valley Conference,Missouri,W
Marywood University,D3,,Pennsylvania,M
Marywood University,D3,,Pennsylvania,W
Massachusetts College of Liberal Arts,D3,,Massachusetts,M
Massachusetts College of Liberal Arts,D3,,Massachusetts,W
Massachusetts Institute of Technology – MIT,D3,,Massachusetts,M
Massachusetts Institute of Technology – MIT,D3,,Massachusetts,W
Massachusetts Maritime Academy,D3,,Massachusetts,M
Massachusetts Maritime Academy,D3,,Massachusetts,W
McDaniel College,D3,,Maryland,M
McDaniel College,D3,,Maryland,W
McKendree University,D2,Great Lakes Valley Conference,Illinois,M
McKendree University,D2,Great Lakes Valley Conference,Illinois,W
McMurry University,D3,,Texas,M
McMurry University,D3,,Texas,W
McNeese,D1,Southland,Louisiana,W
McPherson College,NAIA,,Kansas,M
McPherson College,NAIA,,Kansas,W
Memphis,D1,American,Tennessee,W
Menlo College,D2,California Collegiate Athletic Association,California,M
Menlo College,D2,California Collegiate Athletic Association,California,W
Mercer,D1,Southern,Georgia,W
Mercer University,D1,Southern Conference,Georgia,M
Mercy University,D2,East Coast Conference,New York,M
Mercy University,D2,East Coast Conference,New York,W
Mercyhurst,D1,NEC,Pennsylvania,W
Mercyhurst University,D1,NEC,Pennsylvania,M
Meredith College,D3,,North Carolina,W
Merrimack,D1,Metro,Massachusetts,W
Merrimack College,D1,Metro Conference,Massachusetts,M
Messiah University,D3,,Pennsylvania,M
Messiah University,D3,,Pennsylvania,W
Methodist University,D3,,North Carolina,M
Methodist University,D3,,North Carolina,W
Metropolitan State University of Denver,D2,Rocky Mountain Athletic Conference,Colorado,M
Metropolitan State University of Denver,D2,Rocky Mountain Athletic Conference,Colorado,W
Miami (FL),D1,ACC,Florida,W
Miami (OH),D1,MAC,Ohio,W
Michigan,D1,Big Ten,Michigan,W
Michigan State,D1,Big Ten,Michigan,W
Michigan State University,D1,Big Ten Conference,Michigan,M
Michigan Technological University,D2,Great Lakes Intercollegiate Athletic Conference,Michigan,W
Mid-America Christian University,NAIA,,Oklahoma,M
Mid-America Christian University,NAIA,,Oklahoma,W
MidAmerica Nazarene University,NAIA,,Kansas,M
MidAmerica Nazarene University,NAIA,,Kansas,W
Middle Georgia State University,D2,Peach Belt Conference,Georgia,M
Middle Georgia State University,NAIA,,Georgia,M
Middle Georgia State University,D2,Peach Belt Conference,Georgia,W
Middle Georgia State University,NAIA,,Georgia,W
Middle Tennessee,D1,CUSA,Tennessee,W
Middlebury College,D3,,Vermont,M
Middlebury College,D3,,Vermont,W
Midland University,NAIA,,Nebraska,M
Midland University,NAIA,,Nebraska,W
Midway University,NAIA,,Kentucky,M
Midway University,NAIA,,Kentucky,W
Midwestern State University,D2,Lone Star Conference,Texas,M
Midwestern State University,D2,Lone Star Conference,Texas,W
Millersville University of Pennsylvania,D2,Pennsylvania State Athletic Conference,Pennsylvania,M
Millersville University of Pennsylvania,D2,Pennsylvania State Athletic Conference,Pennsylvania,W
Milligan University,NAIA,,Tennessee,M
Milligan University,NAIA,,Tennessee,W
Millikin University,D3,,Illinois,M
Millikin University,D3,,Illinois,W
Millsaps College,D3,,Mississippi,M
Millsaps College,D3,,Mississippi,W
Milwaukee,D1,Horizon,Wisconsin,W
Milwaukee School of Engineering,D3,,Wisconsin,M
Milwaukee School of Engineering,D3,,Wisconsin,W
Minnesota,D1,Big Ten,Minnesota,W
Minnesota State University Moorhead,D2,Northern Sun Intercollegiate Conference,Minnesota,W
"Minnesota State University, Mankato",D2,Northern Sun Intercollegiate Conference,Minnesota,W
Minot State University,D2,Northern Sun Intercollegiate Conference,North Dakota,W
Misericordia University,D3,,Pennsylvania,M
Misericordia University,D3,,Pennsylvania,W
Mississippi Christian University,D2,Gulf South Conference,Mississippi,M
Mississippi Christian University,D2,Gulf South Conference,Mississippi,W
Mississippi State,D1,SEC,Mississippi,W
Missouri,D1,SEC,Missouri,W
Missouri Baptist University,NAIA,,Missouri,M
Missouri Baptist University,NAIA,,Missouri,W
Missouri Southern State University,D2,Mid-America Intercollegiate Athletics Association,Missouri,W
Missouri State,D1,CUSA,Missouri,W
Missouri State University,D1,American Conference,Missouri,M
Missouri University of Science and Technology,D2,Great Lakes Valley Conference,Missouri,M
Missouri University of Science and Technology,D2,Great Lakes Valley Conference,Missouri,W
Missouri Valley College,NAIA,,Missouri,M
Missouri Valley College,NAIA,,Missouri,W
Missouri Western State University,D2,Mid-America Intercollegiate Athletics Association,Missouri,W
Mitchell College,D3,,Connecticut,M
Mitchell College,D3,,Connecticut,W
Molloy University,D2,East Coast Conference,New York,M
Molloy University,D2,East Coast Conference,New York,W
Monmouth,D1,CAA,New Jersey,W
Monmouth College,D3,,Illinois,M
Monmouth College,D3,,Illinois,W
Monmouth University,D1,Coastal Athletic Association,New Jersey,M
Montana,D1,Big Sky,Montana,W
Montana State University Billings,D2,Great Northwest Athletic Conference,Montana,W
Montclair State University,D3,,New Jersey,M
Montclair State University,D3,,New Jersey,W
Montreat College,NAIA,,North Carolina,M
Montreat College,NAIA,,North Carolina,W
Moravian University,D3,,Pennsylvania,M
Moravian University,D3,,Pennsylvania,W
Morehead State,D1,Ohio Valley,Kentucky,W
Morningside University,NAIA,,Iowa,M
Morningside University,NAIA,,Iowa,W
Mount Aloysius College,D3,,Pennsylvania,M
Mount Aloysius College,D3,,Pennsylvania,W
Mount Holyoke College,D3,,Massachusetts,W
Mount Marty University,NAIA,,South Dakota,M
Mount Marty University,NAIA,,South Dakota,W
Mount Mary University,D3,,Wisconsin,W
Mount Mercy University,NAIA,,Iowa,M
Mount Mercy University,NAIA,,Iowa,W
Mount Saint Mary College – New York,D3,,New York,M
Mount Saint Mary College – New York,D3,,New York,W
Mount St. Joseph University,D3,,Ohio,M
Mount St. Joseph University,D3,,Ohio,W
Mount St. Mary's,D1,Metro,Maryland,W
Mount St. Mary's University,D1,Metro Conference,Maryland,M
Mount Vernon Nazarene University,NAIA,,Ohio,M
Mount Vernon Nazarene University,NAIA,,Ohio,W
Muhlenberg College,D3,,Pennsylvania,M
Muhlenberg College,D3,,Pennsylvania,W
Multnomah Campus of Jessup University,NAIA,,Oregon,M
Multnomah Campus of Jessup University,NAIA,,Oregon,W
Murray State,D1,Missouri Valley,Kentucky,W
Muskingum University,D3,,Ohio,M
Muskingum University,D3,,Ohio,W
NC State,D1,ACC,North Carolina,W
NJIT,D1,America East,New Jersey,W
Navy,D1,Patriot,Maryland,W
Nazareth University,D3,,New York,M
Nazareth University,D3,,New York,W
Nebraska,D1,Big Ten,Nebraska,W
Nebraska Wesleyan University,D3,,Nebraska,M
Nebraska Wesleyan University,D3,,Nebraska,W
Nelson University,NAIA,,Texas,M
Nelson University,NAIA,,Texas,W
Neumann University,D3,,Pennsylvania,M
Neumann University,D3,,Pennsylvania,W
Nevada,D1,Mountain West,Nevada,W
New College of Florida,NAIA,,Florida,M
New College of Florida,NAIA,,Florida,W
New England College,D3,,New Hampshire,M
New England College,D3,,New Hampshire,W
New Hampshire,D1,America East,New Hampshire,W
New Haven,D1,NEC,Connecticut,W
New Jersey City University,D3,,New Jersey,M
New Jersey City University,D3,,New Jersey,W
New Jersey Institute of Technology (NJIT),D1,America East Conference,New Jersey,M
New Mexico,D1,Mountain West,New Mexico,W
New Mexico Highlands University,D2,Rocky Mountain Athletic Conference,New Mexico,W
New Mexico State,D1,CUSA,New Mexico,W
New York University,D3,,New York,M
New York University,D3,,New York,W
Newberry College,D2,South Atlantic Conference,South Carolina,M
Newberry College,D2,South Atlantic Conference,South Carolina,W
Newman University,D2,Great American Conference,Kansas,M
Newman University,D2,Mid-America Intercollegiate Athletics Association,Kansas,W
Niagara,D1,Metro,New York,W
Niagara University,D1,Metro Conference,New York,M
Nicholls,D1,Southland,Louisiana,W
Nichols College,D3,,Massachusetts,M
Nichols College,D3,,Massachusetts,W
North Alabama,D1,UAC,Alabama,W
North American University,NAIA,,Texas,M
North American University,NAIA,,Texas,W
North Carolina,D1,ACC,North Carolina,W
North Carolina State University (NC State),D1,Atlantic Coast Conference,North Carolina,M
North Carolina Wesleyan College,D3,,North Carolina,M
North Carolina Wesleyan College,D3,,North Carolina,W
North Central College,D3,,Illinois,M
North Central College,D3,,Illinois,W
North Central University,D3,,Minnesota,M
North Central University,D3,,Minnesota,W
North Dakota,D1,Summit,North Dakota,W
North Dakota State,D1,Summit,North Dakota,W
North Florida,D1,ASUN,Florida,W
North Greenville University,D2,Conference Carolinas,South Carolina,M
North Greenville University,D2,Conference Carolinas,South Carolina,W
North Park University,D3,,Illinois,M
North Park University,D3,,Illinois,W
North Texas,D1,American,Texas,W
Northeastern,D1,CAA,Massachusetts,W
Northeastern State University,D2,Great American Conference,Oklahoma,M
Northeastern State University,D2,Mid-America Intercollegiate Athletics Association,Oklahoma,W
Northeastern University,D1,Coastal Athletic Association,Massachusetts,M
Northern Arizona,D1,Big Sky,Arizona,W
Northern Colorado,D1,Big Sky,Colorado,W
Northern Illinois,D1,Horizon,Illinois,W
Northern Illinois University (NIU),D1,Horizon League,Illinois,M
Northern Iowa,D1,Missouri Valley,Iowa,W
Northern Kentucky,D1,Horizon,Kentucky,W
Northern Kentucky University,D1,Horizon League,Kentucky,M
Northern Michigan University,D2,Great Lakes Intercollegiate Athletic Conference,Michigan,M
Northern Michigan University,D2,Great Lakes Intercollegiate Athletic Conference,Michigan,W
Northern State University,D2,Northern Sun Intercollegiate Conference,South Dakota,W
Northland College,D3,,Wisconsin,M
Northland College,D3,,Wisconsin,W
Northwest Missouri State University,D2,Mid-America Intercollegiate Athletics Association,Missouri,W
Northwest Nazarene University,D2,Great Northwest Athletic Conference,Idaho,M
Northwest Nazarene University,D2,Great Northwest Athletic Conference,Idaho,W
